Close Date,Close Time,Symbol,Side,Quantity,Entry Price,Exit Price,Net P&L,Duration Minutes
2026-05-05,09:44,SPY,Long,120,444.00,443.20,-96,21
2026-05-05,10:22,SPY,Short,140,443.40,444.00,-84,33
2026-05-05,11:38,NVDA,Long,60,118.40,119.70,78,101
2026-05-04,10:12,SPY,Long,210,442.10,443.20,231,47
2026-05-04,13:03,QQQ,Short,100,381.40,380.50,90,83
2026-05-01,09:36,SPY,Long,110,441.50,441.00,-55,14
2026-04-30,12:20,SPY,Long,140,440.10,439.50,-84,64
2026-04-29,09:50,QQQ,Short,80,379.30,377.70,128,42
2026-04-28,11:47,NVDA,Long,70,116.20,116.90,49,98
2026-04-27,10:09,SPY,Long,100,438.20,439.60,140,36
